Imagefile,ExtractedDate ,ActualDate ,Iscorrect
01048818.jpeg ," ""null""",5/21/2019,No
0156b46f.jpeg ," ""2019-07-25""",7/25/2019,Yes
01a0cabb.jpeg ," ""null""",9/29/2019,No
02acce30.jpeg ," ""null""",10/6/2016,No
02d54805.jpeg ," ""2019-05-29""",5/29/2019,Yes
02f4068e.jpeg ," ""null""",3-Jul-19,No
0308aae2.jpeg ," ""null""","""null""",Yes
0349ff40.jpeg ," ""2019-05-23""",5/23/2019,Yes
0358c6c3.jpeg ," ""2019-01-07""",1/7/2019,Yes
037ef967.jpeg ," ""2019-05-22""",5/22/2019,Yes
0406cfb1.jpeg ," ""2019-07-17""",7/17/2019,Yes
04887bab.jpeg ," ""2019-02-07""",2/7/2019,Yes
049c8dfd.jpeg ," ""2015-06-02""",2/6/2019,Yes
04f988a3.jpeg ," ""2019-07-22""",7/22/2019,Yes
04fa5e11.jpeg ," ""2018-07-22""",7/22/2018,Yes
05f91a79.jpeg ," ""2019-07-06""",7/6/2019,Yes
068ea6e6.jpeg ," ""2019-05-24""",5/24/2019,Yes
0728f702.jpeg ," ""2016-04-15""",4/15/2016,Yes
077124e4.jpeg ," ""2019-07-20""",7/20/2019,Yes
093304e6.jpeg ," ""2019-06-20""",6/20/2019,Yes
0a0ebd53.jpeg ," ""2019-05-29""",5/29/2019,Yes
0a8a955f.jpeg ," ""2019-05-22""",5/22/2019,Yes
0b1664cb.jpeg ," ""2019-07-05""",7/5/2019,Yes
0c4672b4.jpeg ," ""2019-06-18""",6/18/2019,Yes
0c60aa84.jpeg ," ""2019-06-28""",6/28/2019,Yes
0cc46a10.jpeg ," ""2004-08-09""",6/3/2019,No
0cdf6ec0.jpeg ," ""2019-06-20""",6/20/2019,Yes
0daa6a1c.jpeg ," ""2019-04-13""",4/13/2019,Yes
0e0dd005.jpeg ," ""2019-06-07""",6/7/2019,Yes
0eda160c.jpeg ," ""2019-06-28""",6/28/2019,Yes
0efaa622.jpeg ," ""2019-04-30""",4/30/2019,Yes
102dd660.jpeg ," ""2019-07-25""",7/25/2019,Yes
105e97c5.jpeg ," ""2017-10-03""",3/10/2017,Yes
10e00c18.jpeg ," ""2019-08-06""",8/6/2019,Yes
1171a5da.jpeg ," ""2019-07-14""",7/14/2019,Yes
1191438d.jpeg ," ""2018-06-30""",6/30/2019,Yes
121a7302.jpeg ," ""2019-06-27""",6/27/2019,Yes
13531d03.jpeg ," ""2019-06-25""",6/25/2019,Yes
13b63796.jpeg ," ""2016-11-24""",11/24/2016,Yes
13dc4bd4.jpeg ," ""2020-05-21""",image approximately blank ,No
148ebe90.jpeg ," ""null""",6/19/2019,No
150d4dde.jpeg ," ""null""",6/20/2019,No
156e0f63.jpeg ," ""2019-05-19""",5/19/2019,Yes
15bb95a8.jpeg ," ""2019-07-08""",7/8/2019,Yes
15ce8549.jpeg ," ""2019-05-18""",5/18/2019,Yes
16929bef.jpeg ," ""2014-05-22""",5/22/2014,Yes
18e9efcf.jpeg ," ""null""",10/1/2017,No
194fc04c.jpeg ," ""2015-08-22""",8/22/2015,Yes
19aa65d3.jpeg ," ""2019-09-08""",9/8/2019,Yes
1a9c056c.jpeg ," ""2019-06-27""",6/27/2019,Yes
1ae93f0a.jpeg ," ""2019-07-29""",7/29/2019,Yes
1afb9648.jpeg ," ""2019-05-22""",5/22/2019,Yes
1b0a9723.jpeg ," ""2019-01-19""",7/19/2019,No
1cd9dfed.jpeg ," ""null""",6/1/2019,No
1d900ca2.jpeg ," ""2019-07-09""",7/9/2019,Yes
1e288e8c.jpeg ," ""2019-06-07""",6/7/2019,Yes
1e3d07aa.jpeg ," ""null""",null,Yes
1ed34833.jpeg ," ""null""",11/15/2006,No
1f2e0222.jpeg ," ""2018-10-20""",10/20/2018,Yes
1f6a12e7.jpeg ," ""2018-02-17""",2/17/2018,Yes
1f880ba4.jpeg ," ""2019-06-24""",6/24/2019,Yes
1f9bdf4a.jpeg ," ""2019-06-06""",6/6/2019,Yes
20888b5e.jpeg ," ""null""",8/4/2019,No
208e94bb.jpeg ," ""2019-01-06""",1/6/2019,Yes
20aaa16a.jpeg ," ""2019-07-06""",7/6/2019,Yes
212ab88f.jpeg ," ""2019-04-07""",7/4/2019,Yes
21e9cc19.jpeg ," ""2018-08-17""",8/17/2018,Yes
223eba39.jpeg ," ""null""",6/1/2019,No
24847223.jpeg ," ""2019-06-26""",6/26/2019,Yes
25635faa.jpeg ," ""null""",7/19/2019,No
2590a66d.jpeg ," ""2019-06-14""",6/14/2019,Yes
25ee2c0d.jpeg ," ""2019-06-25""",6/25/2019,Yes
25f999dc.jpeg ," ""2019-06-19""",6/19/2019,Yes
265001bf.jpeg ," ""2019-07-11""",11/7/2019,Yes
26738bde.jpeg ," ""2019-08-04""",8/4/2019,Yes
268027de.jpeg ," ""2019-01-07""",1/7/2019,Yes
26ab5ac7.jpeg ," ""null""",6/17/2019,No
28fe14e7.jpeg ," ""null""",null,Yes
2ad1b322.jpeg ," ""2019-06-29""",6/29/2019,Yes
2b4713c8.jpeg ," ""null""",5/24/2019,No
2b577c41.jpeg ," ""2019-03-02""",3/2/2019,Yes
2b931f74.jpeg ," ""null""",3/18/2018,No
2bbb8522.jpeg ," ""2019-07-24""",7/24/2019,Yes
2bdd2396.jpeg ," ""null""",null,Yes
2c500858.jpeg ," ""2016-05-26""",5/26/2016,Yes
2c942f50.jpeg ," ""2019-06-29""",6/29/2019,Yes
2d27a624.jpeg ," ""2010-06-21""",6/21/2019,Yes
2de48561.jpeg ," ""2019-05-17""",5/17/2019,Yes
2e12ae7f.jpeg ," ""2019-01-07""",1/7/2019,Yes
2edff68d.jpeg ," ""2019-06-15""",6/15/2019,Yes
2ef79975.jpeg ," ""2019-06-13""",6/13/2019,Yes
2f36db66.jpeg ," ""2019-08-30""",8/30/2019,Yes
2fdd6a08.jpeg ," ""2019-04-06""",4/6/2019,Yes
30501b83.jpeg ," ""2015-04-25""",4/25/2015,Yes
3055743f.jpeg ," ""2019-02-07""",2/7/2019,Yes
316b49e7.jpeg ," ""2019-06-15""",6/15/2019,Yes
316d4f06.jpeg ," ""null""",6/24/2019,No
31761796.jpeg ," ""2019-07-02""",7/2/2019,Yes
317fb684.jpeg ," ""2017-02-12""",2/12/2017,Yes
318663fa.jpeg ," ""2019-07-18""",7/18/2019,Yes
31ad980e.jpeg ," ""2019-06-14""",6/14/2019,Yes
32b4d880.jpeg ," ""null""",18/7,No
32d10504.jpeg ," ""2019-08-07""",8/7/2019,Yes
332c05ec.jpeg ," ""null""",6/25/2019,No
3331e5f3.jpeg ," ""2017-05-03""",5/3/2017,Yes
33fba310.jpeg ," ""2019-08-06""",8/6/2019,Yes
349c23ef.jpeg ," ""2017-05-09""",5/9/2017,Yes
3519f28b.jpeg ," ""null""",8/30/2019,No
3530e6d1.jpeg ," ""2019-07-25""",7/25/2019,Yes
36285989.jpeg ," ""null"""," ""null""",Yes
365c3104.jpeg ," ""2019-06-10""",6/10/2019,Yes
36e4ad81.jpeg ," ""2019-07-15""",7/15/2019,Yes
37176928.jpeg ," ""2019-07-12""",7/12/2019,Yes
375f34a9.jpeg ," ""2019-06-29""",6/29/2019,Yes
376101f2.jpeg ," ""null"""," ""null""",Yes
379efbfc.jpeg ," ""null""",5/5/2019,No
38863cee.jpeg ," ""2019-04-18""",4/18/2019,Yes
38d9d542.jpeg ," ""2019-09-06""",9/6/2019,Yes
39e7c62a.jpeg ," ""2017-09-23""",9/23/2017,Yes
3bce4b60.jpeg ," ""2019-06-27""",6/27/2019,Yes
3bf18630.jpeg ," ""null""",6/16/2019,No
3bfa05ad.jpeg ," ""2018-09-25""",9/25/2018,Yes
3c73f675.jpeg ," ""2019-05-23""",5/23/2019,Yes
3cdec471.jpeg ," ""null""",6/10/2019,No
3d06f10e.jpeg ," ""null""",3/25/2019,No
3deff9fb.jpeg ," ""2019-05-31""",5/31/2019,Yes
3e2e8c09.jpeg ," ""2019-10-07""",10/7/2019,Yes
3e3a4f77.jpeg ," ""2019-04-06""",4/6/2019,Yes
3e4e3b6a.jpeg ," ""2019-07-22""",7/22/2019,Yes
3e8b3fad.jpeg ," ""2019-08-07""",8/7/2019,Yes
3f2f44eb.jpeg ," ""2019-11-06""",11/6/2019,Yes
406d482f.jpeg ," ""2018-04-20""",4/20/2018,Yes
40e86c08.jpeg ," ""2019-05-04""",5/4/2019,Yes
4175425f.jpeg ," ""2019-06-05""",6/5/2019,Yes
417dc9c8.jpeg ," ""2019-02-02""",2/2/2019,Yes
41879403.jpeg ," ""2019-06-26""",6/26/2019,Yes
42a54355.jpeg ," ""null""",11/30/2019,No
42c85ea9.jpeg ," ""2016-10-04""",10/4/2016,Yes
43d4608f.jpeg ," ""2019-05-03""",5/3/2019,Yes
43d7cd10.jpeg ," ""2017-10-07""",10/7/2017,Yes
43edeb2e.jpeg ," ""2019-07-30""",7/30/2019,Yes
44373191.jpeg ," ""2019-05-14""",5/14/2019,Yes
459b00d4.jpeg ," ""2017-08-24""",8/24/2017,Yes
46ca4063.jpeg ," ""2019-07-09""",7/9/2019,Yes
4754f9e3.jpeg ," ""2019-06-30""",6/30/2019,Yes
4883a482.jpeg ," ""2019-09-03""",9/3/2019,Yes
4934b499.jpeg ," ""2019-02-06""",2/6/2019,Yes
4982922a.jpeg ," ""2019-03-28""",3/28/2019,Yes
4a9af216.jpeg ," ""2019-03-06""",3/6/2019,Yes
4abb6285.jpeg ," ""2016-07-15""",7/15/2016,Yes
4af6d4a7.jpeg ," ""2019-06-15""",6/15/2019,Yes
4b1911d2.jpeg ," ""2018-11-05""",11/5/2018,Yes
4b494298.jpeg ," ""null""",8/18/2019,No
4b8cfbf2.jpeg ," ""null""",6/11/2019,No
4bdd80e2.jpeg ," ""2019-07-25""",7/25/2019,Yes
4d207768.jpeg ," ""null"""," ""null""",Yes
4d79fcf2.jpeg ," ""2019-07-05""",7/5/2019,Yes
4da45cc9.jpeg ," ""2015-02-06""",2/6/2015,Yes
4dddf1eb.jpeg ," ""null""",6/7/2019,No
4e4b0d9c.jpeg ," ""2019-05-06""",5/6/2019,Yes
4e7babf5.jpeg ," ""2019-07-04""",7/4/2019,Yes
4ec4559a.jpeg ," ""2019-07-23""",7/23/2019,Yes
4f58927d.jpeg ," ""2018-11-05""",11/5/2018,Yes
4f692e69.jpeg ," ""2019-07-11""",7/11/2019,Yes
4fa1fc56.jpeg ," ""2018-09-25""",9/25/2018,Yes
4fdb8f6a.jpeg ," ""2019-05-16""",5/16/2019,Yes
4fef1c7e.jpeg ," ""2019-07-10""",7/10/2019,Yes
513a9167.jpeg ," ""2019-07-18""",7/18/2019,Yes
5142a222.jpeg ," ""null""",6/4/2019,No
522b71b7.jpeg ," ""2018-02-06""",2/6/2018,Yes
52b8d251.jpeg ," ""2019-06-23""",6/23/2019,Yes
52df6216.jpeg ," ""2019-07-03""",7/3/2019,Yes
53c03235.jpeg ," ""null""",7/24/2018,No
551883ef.jpeg ," ""2017-06-16""",6/16/2017,Yes
55291d91.jpeg ," ""2019-06-12""",6/12/2019,Yes
557dc266.jpeg ," ""2019-06-28""",6/28/2019,Yes
558a9aa9.jpeg ," ""2017-05-25""",5/25/2017,Yes
55b59146.jpeg ," ""2019-06-27""",6/27/2019,Yes
5753d0c6.jpeg ," ""2019-07-02""",7/2/2019,Yes
5778a323.jpeg ," ""2019-05-17""",5/17/2019,Yes
57c169de.jpeg ," ""2019-07-06""",7/6/2019,Yes
57c7c0a6.jpeg ," ""2015-06-02""",8/2/2015,Yes
58133e04.jpeg ," ""2019-03-06""",3/6/2019,Yes
5afb1261.jpeg ," ""2019-06-14""",6/14/2019,Yes
5b0d6748.jpeg ," ""2019-02-22""",2/22/2019,Yes
5b6ee5a0.jpeg ," ""2017-12-29""",12/29/2017,Yes
5bb556be.jpeg ," ""null""",6/1/2019,No
5bd0d02d.jpeg ," ""2017-05-06""",5/6/2017,Yes
5c2b38f0.jpeg ," ""2019-07-18""",7/18/2019,Yes
5c3075ae.jpeg ," ""null""",7/10/2019,No
5c670322.jpeg ," ""2019-06-16""",6/16/2019,Yes
5c79316b.jpeg ," ""2019-01-07""",1/7/2019,Yes
5ca33654.jpeg ," ""2019-04-26""",4/26/2019,Yes
5cb08cab.jpeg ," ""2019-06-28""",6/28/2019,Yes
5d069db5.jpeg ," ""2019-07-12""",7/12/2019,Yes
5d63f1a2.jpeg ," ""2019-07-16""",7/16/2019,Yes
5d80cb45.jpeg ," ""2019-07-16""",7/16/2019,Yes
5dca8c72.jpeg ," ""null""",6/17/2019,No
5e43dac3.jpeg ," ""null""",8/23/2019,No
5f2e42d9.jpeg ," ""2019-07-23""",7/23/2019,Yes
5fb7995c.jpeg ," ""2019-06-24""",6/24/2019,Yes
5ff14463.jpeg ," ""2019-07-25""",7/25/2019,Yes
603fdc0f.jpeg ," ""2019-06-18""",6/18/2019,Yes
618ce259.jpeg ," ""2019-04-20""",4/20/2019,Yes
62611b46.jpeg ," ""null""",1/25/2018,No
62b3d78b.jpeg ," ""null""",8/23/2018,No
62f15742.jpeg ," ""2015-03-07""",3/7/2015,Yes
637456ba.jpeg ," ""2019-04-16""",4/16/2019,Yes
63debea1.jpeg ," ""2018-01-27""",1/27/2018,Yes
643fab2f.jpeg ," ""2019-06-29""",6/29/2019,Yes
648a919d.jpeg ," ""2019-07-19""",7/19/2019,Yes
64bee512.jpeg ," ""2019-07-15""",7/15/2019,Yes
64d55742.jpeg ," ""2019-03-05""",3/5/2019,Yes
651f5503.jpeg ," ""null""",12/16/2012,No
65f3d160.jpeg ," ""2019-05-06""",5/6/2019,Yes
66e32579.jpeg ," ""2019-07-26""",7/26/2019,Yes
67784f13.jpeg ," ""2019-06-28""",6/28/2019,Yes
6878de95.jpeg ," ""2019-02-08""",2/8/2019,Yes
68c1c1de.jpeg ," ""null""",7/17/2019,No
69095b91.jpeg ," ""2019-06-01""",6/1/2019,Yes
693a7582.jpeg ," ""null""",7/5/2019,No
699f83d9.jpeg ," ""null"""," ""null""",Yes
6a42604c.jpeg ," ""2016-08-07""",8/7/2016,Yes
6a6e2a14.jpeg ," ""2019-03-19""",3/19/2019,Yes
6bab0d7d.jpeg ," ""2019-06-17""",6/17/2019,Yes
6bba9c45.jpeg ," ""2019-07-18""",7/18/2019,Yes
6c447c78.jpeg ," ""2018-06-24""",6/24/2018,Yes
6cb2b839.jpeg ," ""2016-01-09""",1/9/2016,Yes
6d53e280.jpeg ," ""null""",7/16/2017,No
6dbdd84b.jpeg ," ""2019-08-06""",8/6/2019,Yes
6e5b73db.jpeg ," ""2019-06-09""",6/9/2019,Yes
6e6c8022.jpeg ," ""2019-06-20""",6/20/2019,Yes
6eef3a7f.jpeg ," ""null""",9/28/2018,No
6f542182.jpeg ," ""2019-07-18""",7/18/2019,Yes
704f4322.jpeg ," ""2017-10-09""",10/9/2017,Yes
70b0dba1.jpeg ," ""2019-10-06""",10/6/2019,Yes
70edf5c1.jpeg ," ""2017-12-20""",12/20/2017,Yes
710e2d39.jpeg ," ""2018-04-13""",4/13/2018,Yes
71548d28.jpeg ," ""2019-07-17""",7/17/2019,Yes
715d59e4.jpeg ," ""2018-02-07""",2/7/2018,Yes
718914cd.jpeg ," ""2019-06-26""",6/26/2019,Yes
7276fcd8.jpeg ," ""2018-11-04""",11/4/2018,Yes
72b3b552.jpeg ," ""2019-06-21""",6/21/2019,Yes
72edc0a9.jpeg ," ""2018-06-09""",6/9/2018,Yes
73223a9f.jpeg ," ""2019-03-05""",3/5/2019,Yes
73313aba.jpeg ," ""2019-06-14""",6/14/2019,Yes
7383041e.jpeg ," ""2019-06-06""",6/6/2019,Yes
74346a8f.jpeg ," ""2019-08-05""",8/5/2019,Yes
745b1998.jpeg ," ""2019-05-17""",5/17/2019,Yes
74c2c549.jpeg ," ""2019-05-19""",5/19/2019,Yes
7501533b.jpeg ," ""2019-05-18""",5/18/2019,Yes
752bb04a.jpeg ," ""null""",24/4/2019,No
75351233.jpeg ," ""2019-02-06""",2/6/2019,Yes
758414d5.jpeg ," ""2019-07-05""",7/5/2019,Yes
75b7ef34.jpeg ," ""2019-04-06""",4/6/2019,Yes
774194f1.jpeg ," ""2019-10-07""", 2019-10-07,Yes
7757f74b.jpeg ," ""2015-05-18""",5/18/2015,Yes
78bce3b1.jpeg ," ""null""",8/15/2016,No
792e12f9.jpeg ," ""2019-06-24""",6/24/2019,Yes
7ab07a7e.jpeg ," ""null""",5/17/2019,No
7b987291.jpeg ," ""2019-02-09""",2/9/2019,Yes
7ba45680.jpeg ," ""2017-11-18""",11/18/2017,Yes
7c391a3a.jpeg ," ""2019-04-19""",4/19/2019,Yes
7c9e38ba.jpeg ," ""2019-05-05""",5/5/2019,Yes
7d3d33d3.jpeg ," ""2015-06-02""",6/2/2015,Yes
7e60a259.jpeg ," ""2019-05-29""",5/29/2019,Yes
7e979c6c.jpeg ," ""2018-10-03""",10/3/2018,Yes
7eb86b39.jpeg ," ""null""",3/4/2017,No
7ecbd11f.jpeg ," ""2017-03-17""",3/17/2017,Yes
7f892b9b.jpeg ," ""2017-06-14""",6/14/2017,Yes
80247cd7.jpeg ," ""null""",4/5/2019,No
804c5522.jpeg ," ""null""",2-May,No
80b2a0d5.jpeg ," ""2019-06-23""",6/23/2019,Yes
80da81d4.jpeg ," ""2019-06-25""",6/25/2019,Yes
8185e1b8.jpeg ," ""2019-06-28""",6/28/2019,Yes
81c972d3.jpeg ," ""2019-02-19""",2/19/2019,Yes
826bb4b1.jpeg ," ""2019-06-27""",6/27/2019,Yes
8290ec25.jpeg ," ""2018-01-11""",1/11/2018,Yes
82953a03.jpeg ," ""null""",6/23/2019,No
82aed0de.jpeg ," ""null""",5/17/2019,No
83c9db9a.jpeg ," ""2019-07-19""",7/19/2019,Yes
8457a646.jpeg ," ""2018-07-13""",7/13/2018,Yes
84dce936.jpeg ," ""2019-05-16""",5/16/2019,Yes
8558b94e.jpeg ," ""0201-06-29""",29-Jun,Yes
8600390d.jpeg ," ""2019-06-27""",6/27/2019,Yes
8633fc48.jpeg ," ""2012-01-13""",1/13/2012,Yes
8651523e.jpeg ," ""2019-06-01""",6/1/2019,Yes
86c91cbd.jpeg ," ""2012-04-27""",4/27/2012,Yes
86ed0984.jpeg ," ""2019-06-22""",6/22/2019,Yes
88382c50.jpeg ," ""2019-07-16""",7/16/2019,Yes
88c4cc0c.jpeg ," ""null""",7/25/2019,No
88e28b23.jpeg ," ""2019-07-18""",7/18/2019,Yes
8930e861.jpeg ," ""2037-03-18""",3/18/2017,Yes
8939f524.jpeg ," ""2017-09-27""",9/27/2017,Yes
89648cb6.jpeg ," ""2019-10-07""",10/7/2019,Yes
899d661a.jpeg ," ""2019-06-15""",6/15/2019,Yes
89d9667c.jpeg ," ""2019-06-21""",6/21/2019,Yes
89f3c36a.jpeg ," ""2019-06-18""",6/18/2019,Yes
8a07a435.jpeg ," ""2019-06-19""",6/19/2019,Yes
8ae1cfcd.jpeg ," ""2017-06-26""",6/26/2017,Yes
8b916b49.jpeg ," ""2019-06-20""",6/20/2019,Yes
8c015834.jpeg ," ""2019-07-13""",7/13/2019,Yes
8d93ed14.jpeg ," ""2019-07-26""",7/26/2019,Yes
8dc11f3b.jpeg ," ""2019-07-26""",7/26/2019,Yes
8e16764a.jpeg ," ""2019-07-06""",7/6/2019,Yes
8e5b620a.jpeg ," ""2013-03-16""",3/16/2013,Yes
8e5f8da4.jpeg ," ""null""",1/21/2017,No
8e7a99a9.jpeg ," ""2019-03-05""",3/5/2019,Yes
8f51d477.jpeg ," ""2019-06-13""",6/13/2019,Yes
904efee7.jpeg ," ""2019-05-23""",5/23/2019,Yes
90733c0d.jpeg ," ""2019-07-19""",7/19/2019,Yes
9081eb41.jpeg ," ""null""",date not visible,Yes
912ad2e1.jpeg ," ""2019-05-15""",5/15/2019,Yes
91b2f85d.jpeg ," ""2019-03-06""",3/6/2019,Yes
9219d71b.jpeg ," ""2019-07-19""",7/19/2019,Yes
9347d5f7.jpeg ," ""2016-07-12""",7/12/2016,Yes
939492cb.jpeg ," ""null""",3/10/2019,No
942e9fb6.jpeg ," ""2019-06-18""",6/18/2019,Yes
946898a1.jpeg ," ""null""",8/8/2019,No
94c84d39.jpeg ," ""2017-02-18""",2/18/2017,Yes
956be7eb.jpeg ," ""2019-11-06""",11/6/2019,Yes
9585fb50.jpeg ," ""2019-07-19""",7/19/2019,Yes
95ec3eab.jpeg ," ""2019-03-17""",3/17/2019,Yes
96844b6d.jpeg ," ""2019-06-15""",6/15/2019,Yes
96a5541a.jpeg ," ""2017-08-09""",8/9/2017,Yes
96ccf006.jpeg ," ""2016-04-24""",4/24/2016,Yes
96de25e8.jpeg ," ""null""",7/16/2019,No
96e270fd.jpeg ," ""2019-06-19""",6/19/2019,Yes
97802ad1.jpeg ," ""2019-09-02""",9/2/2019,Yes
97ae705c.jpeg ," ""2019-02-23""",2/23/2019,Yes
982b02cf.jpeg ," ""2019-07-23""",7/23/2019,Yes
988159af.jpeg ," ""2019-07-13""",7/13/2019,Yes
991302fd.jpeg ," ""2017-07-06""",7/6/2017,Yes
9966a3ad.jpeg ," ""2019-07-24""",7/24/2019,Yes
996ad591.jpeg ," ""null""",10/8/2014,No
997ba80b.jpeg ," ""2018-10-06""",10/6/2018,Yes
9a137cc9.jpeg ," ""2019-07-21""",7/21/2019,Yes
9a8e24a1.jpeg ," ""null""",7/15/2017,No
9aca41c9.jpeg ," ""2019-01-05""",1/5/2019,Yes
9ade947c.jpeg ," ""null""",date not visible,Yes
9ae2c1aa.jpeg ," ""2019-11-07""",11/7/2019,Yes
9aff01ec.jpeg ," ""2019-05-01""",5/1/2019,Yes
9b79f888.jpeg ," ""2019-05-06""",5/6/2019,Yes
9bf563ad.jpeg ," ""null"""," ""null""",Yes
9d042023.jpeg ," ""2019-05-26""",5/26/2019,Yes
9d135554.jpeg ," ""null""",2/18/2017,No
9d315c3b.jpeg ," ""null""",6/19/2019,No
9dacc253.jpeg ," ""2019-06-26""",6/26/2019,Yes
9df19b67.jpeg ," ""2019-07-16""",7/16/2019,Yes
9f100f6a.jpeg ," ""2019-05-20""",5/20/2019,Yes
9f6518d2.jpeg ," ""null""",2/24/2019,No
9f7dd143.jpeg ," ""2018-12-29""",12/29/2018,Yes
9fbebaaf.jpeg ," ""2016-10-04""",10/4/2016,Yes
9fc011f7.jpeg ," ""2019-06-17""",6/17/2019,Yes
a1468725.jpeg ," ""2019-03-25""",3/25/2019,Yes
a17d8c2f.jpeg ," ""2019-06-19""",6/19/2019,Yes
a18a7997.jpeg ," ""null""",1/28/2018,No
a190549c.jpeg ," ""2014-12-21""",12/21/2014,Yes
a1cdfdde.jpeg ," ""2019-06-06""",6/6/2019,Yes
a1e35140.jpeg ," ""2019-06-16""",6/16/2019,Yes
a1ea8555.jpeg ," ""2019-06-28""",6/28/2019,Yes
a26adf55.jpeg ," ""2019-05-22""",5/22/2019,Yes
a2ce1b5e.jpeg ," ""2019-12-03""",12/3/2019,Yes
a34336fd.jpeg ," ""2019-07-17""",7/17/2019,Yes
a3dbcdaa.jpeg ," ""null"""," ""null""",Yes
a3dd3ffb.jpeg ," ""2019-07-19""",7/19/2019,Yes
a44f4dd1.jpeg ," ""2019-06-20""",6/20/2019,Yes
a47ae875.jpeg ," ""2017-12-05""",12/5/2017,Yes
a4aee2d5.jpeg ," ""2017-04-27""",4/27/2017,Yes
a55acac4.jpeg ," ""2019-05-31""",5/31/2019,Yes
a5952274.jpeg ," ""2019-11-07""",11/7/2019,Yes
a5b617de.jpeg ," ""null""",7/11/2019,No
a7001ecc.jpeg ," ""2017-08-12""",8/12/2017,Yes
a72f96ca.jpeg ," ""2019-07-12""",7/12/2019,Yes
a8c6b02c.jpeg ," ""2016-04-06""",4/6/2016,Yes
a8d87938.jpeg ," ""2019-05-07""",5/7/2019,Yes
a8f7689b.jpeg ," ""2019-07-19""",7/19/2019,Yes
a9800e10.jpeg ," ""2019-06-07""",6/7/2019,Yes
aa33ae61.jpeg ," ""2019-06-16""",6/16/2019,Yes
aa3640e5.jpeg ," ""2019-07-05""",7/5/2019,Yes
aba42498.jpeg ," ""2017-07-01""",7/1/2017,Yes
abcc056f.jpeg ," ""2019-06-22""",6/22/2019,Yes
abd76c4b.jpeg ," ""null""",7/2/2019,No
abf51544.jpeg ," ""null"""," ""null""",Yes
ac676281.jpeg ," ""2019-07-11""",7/11/2019,Yes
ad2814be.jpeg ," ""null"""," ""null""",Yes
ad742eb5.jpeg ," ""null""",6/28/2017,No
adc1b1d1.jpeg ," ""2019-02-06""",2/6/2019,Yes
ae906bad.jpeg ," ""2019-11-02""",11/2/2019,Yes
ae94e526.jpeg ," ""2019-12-06""",12/6/2019,Yes
aeb91209.jpeg ," ""null"""," ""null""",Yes
afa578d9.jpeg ," ""2013-06-11""",6/11/2013,Yes
aff8e5ab.jpeg ," ""2018-01-23""",1/23/2018,Yes
b0511c9e.jpeg ," ""2019-07-16""",7/16/2019,Yes
b06a246f.jpeg ," ""2018-02-13""",2/13/2018,Yes
b0ba1d29.jpeg ," ""null""",1/28/2018,No
b0d5d8c5.jpeg ," ""2013-10-08""",10/8/2013,Yes
b199704c.jpeg ," ""null""",5/16/2017,No
b1c64bac.jpeg ," ""2019-04-23""",4/23/2019,Yes
b21bee63.jpeg ," ""2019-06-13""",6/13/2019,Yes
